"age","marital","balance","day","month","duration","campaign","pdays","previous","TermDeposit"
51,"married",-892,14,"aug",248,2,-1,0,"no"
42,"married",686,15,"may",1326,6,175,3,"no"
55,"divorced",264,30,"may",34,2,-1,0,"no"
23,"single",85,19,"may",109,2,-1,0,"no"
26,"single",255,14,"aug",209,2,106,2,"yes"
38,"married",2283,14,"jul",221,3,-1,0,"no"
56,"married",5838,2,"feb",116,2,230,2,"no"
58,"divorced",108,12,"aug",231,4,-1,0,"no"
32,"single",3816,21,"nov",53,3,-1,0,"no"
58,"married",4,6,"aug",147,1,-1,0,"no"
46,"married",4007,3,"feb",380,5,217,5,"no"
32,"single",-217,18,"aug",129,4,-1,0,"no"
29,"divorced",1718,18,"jul",579,2,-1,0,"no"
42,"married",197,18,"jun",199,1,-1,0,"no"
59,"married",282,3,"feb",301,2,-1,0,"no"
30,"single",2419,5,"jun",213,2,-1,0,"no"
23,"married",-213,13,"may",165,2,-1,0,"no"
32,"married",413,20,"apr",95,3,341,2,"no"
45,"married",1831,27,"may",275,2,-1,0,"yes"
28,"single",5215,2,"jun",673,1,-1,0,"no"
44,"married",392,9,"may",124,2,-1,0,"no"
33,"married",3140,21,"nov",7,5,-1,0,"no"
39,"married",260,13,"nov",226,1,94,4,"yes"
45,"married",317,8,"apr",325,2,-1,0,"no"
32,"divorced",41,3,"feb",251,4,187,11,"no"
31,"single",1489,3,"feb",678,1,-1,0,"no"
34,"married",1246,28,"may",88,3,-1,0,"no"
35,"single",7546,28,"dec",137,1,122,3,"no"
27,"married",1109,21,"jul",833,5,-1,0,"no"
57,"married",1315,14,"aug",260,2,-1,0,"no"
31,"single",0,16,"may",28,4,-1,0,"no"
35,"married",0,6,"may",113,1,351,1,"no"
24,"married",0,28,"may",94,1,-1,0,"no"
47,"divorced",-130,30,"jul",221,4,431,5,"no"
36,"single",142,25,"jul",571,1,-1,0,"no"
30,"single",-174,7,"may",113,1,-1,0,"no"
47,"married",1092,30,"may",41,8,-1,0,"no"
42,"divorced",0,19,"may",131,2,-1,0,"no"
48,"married",1513,29,"jan",166,2,-1,0,"no"
38,"married",327,6,"may",69,2,-1,0,"no"
42,"married",0,9,"jul",431,1,-1,0,"no"
36,"divorced",437,14,"may",722,2,344,1,"yes"
56,"married",15088,11,"aug",179,4,-1,0,"no"
45,"married",-577,24,"jul",204,1,-1,0,"no"
32,"single",509,19,"nov",208,2,-1,0,"no"
33,"single",242,3,"jul",320,2,-1,0,"no"
30,"married",944,29,"oct",251,2,-1,0,"yes"
39,"married",75,20,"may",332,2,-1,0,"no"
31,"single",-535,25,"jul",163,1,-1,0,"no"
53,"married",0,19,"aug",160,3,-1,0,"no"
57,"married",124,11,"may",296,1,287,12,"no"
32,"married",791,21,"may",783,2,-1,0,"yes"
23,"single",1311,3,"jun",100,3,-1,0,"no"
58,"married",3658,4,"may",55,2,-1,0,"no"
34,"married",218,5,"aug",109,2,-1,0,"no"
40,"married",592,15,"may",15,11,-1,0,"no"
53,"married",736,20,"may",535,1,-1,0,"no"
30,"single",1472,20,"nov",769,4,-1,0,"no"
26,"single",200,1,"sep",91,2,-1,0,"no"
29,"single",15459,18,"feb",264,7,-1,0,"yes"
30,"single",308,2,"jun",175,2,-1,0,"no"
28,"married",503,21,"jul",553,2,-1,0,"no"
52,"married",-542,28,"aug",80,2,-1,0,"no"
36,"married",35,4,"feb",517,4,-1,0,"no"
51,"single",513,29,"jul",331,2,-1,0,"no"
30,"married",14355,7,"aug",244,2,-1,0,"no"
37,"single",334,25,"jul",442,12,-1,0,"no"
46,"married",273,15,"sep",1962,1,105,3,"yes"
25,"single",380,12,"jul",167,1,-1,0,"no"
58,"married",3735,17,"nov",91,2,-1,0,"no"
56,"married",719,27,"aug",236,2,-1,0,"no"
50,"married",724,4,"aug",144,3,-1,0,"no"
36,"married",79,28,"may",275,2,-1,0,"no"
37,"married",577,14,"jul",76,2,-1,0,"no"
29,"single",-247,22,"jul",211,1,-1,0,"no"
38,"married",861,11,"may",565,2,-1,0,"no"
28,"single",223,27,"aug",157,2,119,1,"yes"
48,"married",1152,21,"jul",168,5,-1,0,"no"
42,"married",1320,15,"may",301,4,-1,0,"no"
29,"single",1012,23,"may",926,1,-1,0,"no"
32,"single",914,17,"jun",236,2,-1,0,"no"
33,"married",523,18,"may",18,5,360,5,"no"
35,"married",1473,12,"may",84,3,-1,0,"no"
59,"married",1365,19,"jun",327,1,-1,0,"no"
29,"single",2325,2,"feb",125,1,-1,0,"yes"
41,"married",30,10,"jul",151,1,-1,0,"no"
36,"married",0,21,"aug",173,2,-1,0,"no"
50,"married",1622,14,"jul",58,11,-1,0,"no"
35,"married",362,12,"may",363,2,-1,0,"no"
35,"married",122,7,"jul",179,4,-1,0,"no"
31,"single",0,29,"jan",528,3,-1,0,"no"
35,"divorced",538,21,"nov",109,2,193,4,"no"
34,"single",-184,15,"may",80,3,352,1,"no"
43,"married",408,14,"sep",6,1,838,3,"no"
47,"married",12245,7,"jul",1103,3,-1,0,"no"
48,"married",408,17,"apr",132,1,-1,0,"no"
36,"married",4721,9,"dec",149,3,-1,0,"yes"
38,"married",398,17,"apr",239,1,332,1,"no"
50,"married",5164,12,"jun",117,5,-1,0,"no"
52,"married",3634,8,"feb",341,8,-1,0,"yes"
41,"married",449,20,"apr",10,6,-1,0,"no"
32,"married",284,29,"apr",717,3,-1,0,"yes"
36,"married",4721,9,"mar",288,2,90,3,"yes"
44,"single",1367,13,"apr",1232,3,146,1,"yes"
40,"divorced",4082,4,"feb",113,1,-1,0,"no"
53,"married",264,5,"feb",159,1,-1,0,"no"
46,"married",9,8,"apr",126,6,-1,0,"no"
32,"single",813,28,"aug",114,7,-1,0,"no"
54,"married",2500,11,"jun",62,2,-1,0,"no"
38,"divorced",0,21,"jul",93,1,-1,0,"no"
37,"married",430,27,"aug",154,4,-1,0,"no"
42,"single",426,11,"jul",636,2,-1,0,"no"
52,"married",668,31,"jul",212,4,-1,0,"no"
33,"married",695,21,"nov",148,1,-1,0,"no"
49,"single",1150,18,"may",126,2,355,1,"no"
57,"divorced",96,21,"aug",913,4,-1,0,"yes"
48,"divorced",-130,29,"sep",110,2,61,9,"no"
30,"single",812,12,"aug",91,4,-1,0,"no"
34,"married",262,15,"sep",89,2,106,1,"yes"
25,"single",139,11,"jan",202,1,91,1,"yes"
30,"married",673,20,"may",610,2,-1,0,"no"
57,"married",207,8,"may",193,1,-1,0,"no"
33,"married",-266,3,"feb",16,7,-1,0,"no"
47,"married",124,7,"aug",76,2,-1,0,"no"
47,"married",84,29,"aug",367,3,-1,0,"no"
25,"single",122,7,"may",481,2,-1,0,"yes"
32,"married",20,8,"may",117,3,-1,0,"no"
29,"married",201,27,"mar",101,12,-1,0,"no"
38,"married",5293,21,"nov",1199,3,155,3,"no"
47,"divorced",106,15,"may",303,1,-1,0,"no"
30,"single",2616,5,"feb",301,1,-1,0,"no"
53,"married",1,22,"aug",120,10,-1,0,"no"
26,"single",81,21,"jul",262,3,-1,0,"no"
40,"married",1532,18,"nov",173,7,-1,0,"no"
45,"single",2532,29,"jul",64,6,-1,0,"no"
58,"married",66,15,"may",184,4,-1,0,"no"
44,"married",423,12,"mar",2330,5,-1,0,"yes"
55,"married",51,8,"jul",102,1,-1,0,"no"
44,"married",1357,5,"may",250,1,-1,0,"no"
24,"single",76,19,"may",345,1,-1,0,"no"
46,"married",640,12,"mar",215,1,182,4,"yes"
29,"single",314,9,"apr",161,1,316,2,"no"
57,"married",-157,28,"aug",31,9,-1,0,"no"
56,"divorced",2037,6,"may",160,1,91,5,"no"
37,"divorced",398,5,"may",214,2,-1,0,"no"
36,"divorced",425,29,"jan",202,2,-1,0,"no"
26,"single",622,28,"jan",1451,2,-1,0,"yes"
40,"single",355,7,"apr",345,2,138,6,"no"
31,"single",350,12,"aug",359,2,-1,0,"no"
52,"married",1023,7,"jul",107,6,-1,0,"no"
38,"married",0,17,"nov",78,2,193,2,"no"
58,"married",226,14,"jul",306,2,-1,0,"no"
58,"married",0,30,"jan",540,1,2,2,"no"
44,"married",251,20,"jun",14,6,-1,0,"no"
34,"married",745,20,"apr",400,5,332,4,"no"
55,"married",1665,30,"jul",89,2,-1,0,"no"
38,"single",4325,6,"may",87,1,-1,0,"no"
34,"single",3626,20,"nov",88,2,-1,0,"no"
51,"married",-15,25,"jul",212,2,-1,0,"no"
57,"married",37,25,"jun",259,2,-1,0,"no"
42,"married",91,29,"may",87,7,-1,0,"no"
47,"married",1127,11,"aug",133,6,-1,0,"no"
52,"married",0,22,"aug",351,5,-1,0,"no"
31,"married",323,11,"aug",120,3,-1,0,"no"
28,"married",7,14,"jul",226,4,-1,0,"no"
38,"married",648,3,"jun",179,1,-1,0,"no"
32,"married",2578,29,"jul",86,3,-1,0,"no"
61,"married",1224,1,"oct",99,1,-1,0,"no"
42,"divorced",167,16,"jun",119,1,-1,0,"no"
28,"married",8,27,"may",1297,1,-1,0,"no"
46,"married",-169,8,"jul",109,1,-1,0,"no"
46,"single",401,19,"aug",69,2,-1,0,"no"
28,"single",355,28,"may",300,4,-1,0,"no"
29,"single",1457,7,"apr",89,1,314,1,"no"
57,"single",2528,30,"may",724,1,-1,0,"no"
46,"married",273,10,"may",583,6,53,6,"yes"
37,"married",0,3,"jun",126,1,-1,0,"no"
33,"married",-285,12,"aug",507,3,-1,0,"no"
40,"single",224,17,"apr",875,2,-1,0,"yes"
29,"single",594,25,"may",128,1,-1,0,"no"
37,"single",274,8,"aug",173,3,-1,0,"no"
39,"married",785,11,"may",1232,2,-1,0,"yes"
44,"divorced",-90,21,"jul",472,1,-1,0,"no"
